SKILL_20150317_000001	Attack	Attack
SKILL_20150317_000002	[Elite Kepa] 1 time, Physical, Poison Property, Strike	[Elite Kepa] 1 kali, Physical, Poison element, Strike
SKILL_20150317_000003	[Rafflesia] Spread Poison	[Rafflesia] Spread Poison
SKILL_20150317_000004	[Rafflesia] Poison Bomb	[Rafflesia] Poison Bomb
SKILL_20150317_000005	[Raffly] Physical, Strike, Poison Property, Attack 1 time	[Raffly] Physical, Strike, Elemen Poison, Attack 1 kali
SKILL_20150317_000006	[Raffly] Physical, Strike, Poison Property, Jump Attack 1 time	[Raffly] Physical, Strike, Elemen Poison, Jump Attack 1 kali
SKILL_20150317_000007	[Puragi] Physical, Strike, Poison Property, Normal Attack 1 time	[Puragi] Physical, Strike, Elemen Poison, Normal attack 1 kali
SKILL_20150317_000008	[Puragi] Physical, Strike, Poison Property, Attack 1 time	[Puragi] Physical, Elemen Poison, Attack 1 kali
SKILL_20150317_000009	[Puragi] Physical, Strike, Poison Property, Stomp 1 time	[Puragi] Physical, Elemen Poison, Stomp 1 kali
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE	[Zigri] Normal Attack, Conical AoE
SKILL_20150317_000011	[Zigri] Spinning Strike	[Zigri] Spinning Strike
SKILL_20150317_000012	[Zigri] Jump and Stomping Shock	[Zigri] Jump and Somping Shock
SKILL_20150317_000013	[Fisherman] Physical, Strike, Ice Property, Strike with Fishing Rod	[Fisherman] Physical, Strike, Elemen Ice, Strike dengan Fishing Rod
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill	[Fisherman] Magic, Buff, Magic, Buff Skill
SKILL_20150317_000015	[Green Pokuborn] Physical, Pierce, Lightning Property, Horn Attack 1 time	[Pokuborn] Physical, Pierce, Elemen Lightning, Horn Attack 1 kali
SKILL_20150317_000016	[Bushspider] Physical, Strike, Earth Property, Attack 1 time	[Bushspider] Physical, Strike, Elemen Earth, Attack 1 kali
SKILL_20150317_000017	[Fragaras] Quick bite	[Fragaras] Quick bite
