UI_20150317_000001	{@st41b}Learn Attributes{nl}from respective masters of each class.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}	{@st41b}Kamu dapat belajar attribute{nl}Melalui Master setiap class.{/}
UI_20150317_000002	{@st43}Attribute List {/}	{@st43}특성 목록{/}	{@st43}List {/}
UI_20150317_000003	{@st59}Close{/}	{@st59}특성리스트를 닫습니다{/}	{@st59}Tutup {/}
UI_20150317_000004	{@st43}Learn Attributes{/}	{@st43}특성 배우기{/}	{@st43}Belajar Attribute{/}
UI_20150317_000005	{@st59}Close{/}	{@st59}특성창을 닫습니다{/}	{@st59}Tutup window attribute{/}
UI_20150317_000006	{@st41b}Silver{/}	{@st41b}소지금{/}	{@st41b}Silver{/}
UI_20150317_000007	My Achievements	나의 업적	My Achievement
UI_20150317_000008	Server Ranking	서버 랭킹	Server Ranking
UI_20150317_000009	{@st59}An unexpected event is available.{/}	{@st59}돌발이벤트가 있습니다{/}	{@st59}Surprise Event.{/}
UI_20150317_000010	{@st59}There is a new Help message{/}	{@st59}도움말이 있습니다{/}	{@st59}Ada pesan bantuan baru.{/}
UI_20150317_000011	{@st41}Are you sure you want to craft this type of arrow?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}	{@st41}Arrow macam apa yang mau kamu buat?{/}
UI_20150317_000012	{@st41b}Once{/}	{@st41b}한번만{/}	{@st41b}Sekali{/}
UI_20150317_000013	{@st41b}All{/}	{@st41b}모두{/}	{@st41b}Semua{/}
UI_20150317_000014	{@st41b}Pause{/}	{@st41b}중단{/}	{@St41b}Pause{/}
UI_20150317_000015	{@st43}Adventure Journal{/}	{@st43}모험일지{/}	{@St43}Adventure Journal{/}
UI_20150317_000016	{@st43}Auction House{/}	{@st43}경매장{/}	{@St43}Auction House{/}
UI_20150317_000017	{@st59}Close{/}	{@st59}경매장을 닫습니다{/}	{@St59}Tutup{/}
UI_20150317_000018	{@st41b}Items Sold : ×%s, Items Unsold : ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}	{@St41b}Item Terjual : %s buah, Item Belum terjual : %s buah{/}
UI_20150317_000019	{@st43}{s22}Item Auction{/}	{@st43}{s22}아이템 경매{/}	{@St43}{s22}Item Auction{/}
UI_20150317_000020	{@st59}Close{/}	{@st59}퀘스트 정보를 닫습니다{/}	{@st59}Tutup Quest Information{/}
UI_20150317_000021	Availest	아베일레스트	Sukses!!
UI_20150317_000022	{@st41b}Remaining Time	{@st41b}남은 시간	{@St41b}Waktu Tersisa
UI_20150317_000023	3 hours 16 minutes	3시간 16분	3 jam 16 menit
UI_20150317_000024	{@st41b}Starting Price	{@st41b}시작가	{@St41b}Harga mulai dari
UI_20150317_000025	{@st41b}Bids	{@st41b}입찰수	{@St41b}Lelang
UI_20150317_000026	{@st41b}Current Price	{@st41b}현재가	{@St41b}Harga Sekarang
UI_20150317_000027	{@st41b}Bidding Price	{@st41b}입찰금	{@St41b}Harga Lelang
UI_20150317_000028	{@st41b}Minimum Bid Price from {@st57}%s{@st41b}silver{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}	{@St41b}Harga Lelang Minimum mulai dari {@st57}%s {@st41b}Silver{/}
UI_20150317_000029	{@st41b}Bid{/}	{@st41b}입찰{/}	{@St41b}Lelang{/}
UI_20150317_000030	{@st43b}Buy Now!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@St43b}Beli Sekarang! {nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Permission Settings{/}	{@st44}권한설정{/}	{@St44}Permission Settings{/}
UI_20150317_000032	{@st45}Name: %s{/}	{@st45}이름:%s{/}	{@St45}Nama: %s{/}
UI_20150317_000033	{@st45}Party Storage{/}	{@st45}파티 창고{/}	{@St45}Party Warehouse{/}
UI_20150317_000034	{@st49}None	{@st49}없음	{@St49}None
UI_20150317_000035	{@st49}Store	{@st49}넣기	{@St49}Insert
UI_20150317_000036	{@st49}Retrieve	{@st49}가져오기	{@St49}Import
UI_20150317_000037	{@st45}Survey{/}	{@st45}설문{/}	{@St45}Survey{/}
UI_20150317_000038	{@st49}Create	{@st49}작성	{@St49}Buat
UI_20150317_000039	{@st49}Delete	{@st49}삭제	{@St49}Hapus
UI_20150317_000040	{@st44}Save{/}	{@st44}저장{/}	{@St44}Save{/}
UI_20150317_000041	{@st44}Cancel{/}	{@st44}취소{/}	{@St44}Batal{/}
UI_20150317_000042	{@st43}{s22}Hairstyle Shop{/}	{@st43}{s22}미용실{/}	{@St43}{s22}Hair Shop{/}
UI_20150317_000043	{@st59}Previous Hairstyle{/}	{@st59}이전 머리{/}	{@st59}Hair Sebelumnya{/}
UI_20150317_000044	{@st59}Next Hairstyle{/}	{@st59}다음 머리{/}	{@St59}Hair Selanjutnya{/}
